location_id,lat,lng,monthly_revenue,signal_count,unique_users,peak_morning_signals,building_count,total_building_area,avg_building_area,residential_count,commercial_count,building_density,pop_total,pop_households,avg_hh_size,poi_bank,poi_bus_stop,poi_hospital,poi_mall,poi_park,poi_pharmacy,poi_restaurant,poi_school,poi_total,competitor_count,dist_nearest_competitor_m,residential_ratio,commercial_ratio,pop_density,peak_ratio,signals_per_user,dist_nearest_client_m,nearest_client_revenue,dist_nearest_poi_m
LOC_001,50.226272,19.072973,245633.74,16052,216,3644,370,62829.45,169.8093243243243,232,23,471.1,4114.0,1613.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,262.8,0.627,0.062,5238.1,0.227,74.3,3101.7,323175.63,1644.3
LOC_002,50.299999,18.674625,333393.33,21249,521,5691,442,180292.51,407.9016063348416,179,111,562.8,2446.0,1093.0,2.19,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,2567.5,0.405,0.251,3114.3,0.268,40.8,460.9,335019.41,442.7
LOC_003,50.042894,19.968676,296109.69,4547,241,1248,345,126428.17,366.458463768116,126,103,439.3,706.0,216.0,4.65,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,619.2,0.365,0.299,898.9,0.274,18.9,1710.3,473882.1,176.8
LOC_004,50.130954,19.607709,197099.19,782,24,141,185,36883.98,199.37286486486488,106,17,235.5,355.0,107.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9153.9,0.573,0.092,452.0,0.18,32.6,16853.9,50000.0,2041.8
LOC_005,50.351594,18.894944,292786.56,24835,352,5127,438,122723.21,280.1899771689498,266,39,557.7,6872.0,3315.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.5,0.607,0.089,8749.7,0.206,70.6,1949.7,355288.71,1081.6
LOC_006,50.016769,20.01029,174307.46,18488,240,4250,197,89993.12,456.81786802030456,100,41,250.8,8526.0,1759.0,8.03,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2383.4,0.508,0.208,10855.6,0.23,77.0,3992.3,231470.22,457.3
LOC_007,50.283699,19.017317,526630.01,14189,206,2928,358,122878.12,343.2349720670391,154,96,455.8,3599.0,1620.0,2.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2389.2,0.43,0.268,4582.4,0.206,68.9,2491.9,623866.24,794.5
LOC_008,50.147486,18.840116,156433.13,10455,192,2372,530,89746.56,169.3331320754717,310,51,674.8,3520.0,1322.0,3.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3604.9,0.585,0.096,4481.8,0.227,54.5,12128.2,285754.04,85.3
LOC_009,50.303099,18.678924,335019.41,26412,496,6935,552,172217.7,311.9885869565218,293,123,702.8,4302.0,2036.0,2.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,2946.2,0.531,0.223,5477.5,0.263,53.2,460.9,333393.33,220.3
LOC_010,50.347639,18.921651,355288.71,47250,782,13000,1236,304561.92,246.4093203883495,707,131,1573.7,8059.0,3617.0,2.48,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1854.2,0.572,0.106,10261.0,0.275,60.4,1949.7,292786.56,77.0
